3	3	6	0.960	0.975	0.954	0.975	0.9432	0.9748	0.9157	0.9748
3	3	7	0.948	0.975	0.942	0.975	0.9222	0.9748	0.8912	0.9748
3	3	8	0.932	0.975	0.923	0.975	0.8938	0.9748	0.8383	0.9748
3	3	9	0.912	0.975	0.894	0.975	0.9367	0.9748	0.8869	0.9748
3	3	10	0.880	0.975	0.865	0.975	0.9966	0.9748	0.9957	0.9748
3	3	11	0.821	0.975	0.816	0.975	0.9999	0.9748	0.9999	0.9748
3	3	12	0.726	0.974	0.680	0.974	0.9999	0.9744	0.9998	0.9744
3	4	1	0.993	0.987	0.993	0.987	0.9999	0.9870	0.9999	0.9870
3	4	2	0.990	0.985	0.990	0.985	0.9998	0.9853	0.9999	0.9853
3	4	3	0.988	0.985	0.987	0.985	0.9990	0.9852	0.9987	0.9852
3	4	4	0.986	0.985	0.985	0.985	0.9772	0.9852	0.9702	0.9852
3	4	5	0.982	0.985	0.979	0.985	0.9676	0.9852	0.9572	0.9852
3	4	6	0.977	0.985	0.975	0.985	0.9705	0.9851	0.9603	0.9851
3	4	7	0.969	0.985	0.965	0.985	0.9605	0.9846	0.9398	0.9846
3	4	8	0.955	0.984	0.948	0.984	0.9323	0.9839	0.8975	0.9839
3	4	9	0.937	0.983	0.934	0.983	0.9518	0.9832	0.9250	0.9832
3	4	10	0.909	0.983	0.886	0.983	0.9986	0.9826	0.9982	0.9826
3	4	11	0.872	0.982	0.834	0.982	1.0000	0.9821	1.0000	0.9821
3	4	12	0.809	0.982	0.784	0.982	1.0000	0.9815	1.0000	0.9815
3	5	1	0.995	0.990	0.994	0.990	0.9999	0.9899	0.9999	0.9899
3	5	2	0.993	0.990	0.993	0.990	0.9999	0.9899	0.9999	0.9899
3	5	3	0.991	0.990	0.991	0.990	0.9994	0.9898	0.9994	0.9898
3	5	4	0.989	0.990	0.989	0.990	0.9876	0.9896	0.9827	0.9896
3	5	5	0.986	0.989	0.985	0.989	0.9786	0.9893	0.9705	0.9893
4	1	8	0.932	0.965	0.890	0.965	0.8949	0.9652	0.8161	0.9652
4	1	9	0.887	0.963	0.855	0.963	0.9130	0.9629	0.8629	0.9629
4	1	10	0.857	0.961	0.813	0.961	0.9806	0.9614	0.9692	0.9614
4	1	11	0.795	0.959	0.724	0.959	0.9981	0.9590	0.9965	0.9590
