         0.2	     0.11548	 1.98265e-08	   0.0045128	   0.0361766
        0.21	    0.114753	 5.30956e-08	  0.00731125	   0.0390976
        0.22	    0.113993	  1.2497e-07	     0.01139	   0.0413588
        0.23	    0.113205	 2.72885e-07	   0.0170744	   0.0428669
        0.24	    0.112389	 6.15285e-07	   0.0247064	   0.0436095
        0.25	    0.111548	 1.29086e-06	   0.0346322	   0.0435945
        0.26	    0.110682	 2.54637e-06	   0.0471471	   0.0428448
        0.27	    0.109793	 5.06081e-06	   0.0623421	   0.0414428
        0.28	    0.108882	 9.62122e-06	   0.0802568	    0.039486
        0.29	    0.107951	 1.74442e-05	    0.100837	   0.0370748
         0.3	    0.106999	 3.14644e-05	     0.12365	   0.0343229
        0.31	    0.106029	  5.5046e-05	    0.148169	   0.0313468
        0.32	    0.105041	 9.28811e-05	    0.173794	   0.0282578
        0.33	    0.104035	 0.000154973	    0.199629	   0.0251459
        0.34	    0.103012	 0.000252652	    0.224704	   0.0220955
        0.35	    0.101973	 0.000400521	     0.24806	   0.0191832
        0.36	    0.100918	 0.000626259	    0.268783	   0.0164533
        0.37	   0.0998475	 0.000960818	    0.285971	   0.0139421
        0.38	   0.0987622	   0.0014416	    0.298819	   0.0116795
        0.39	   0.0976624	  0.00213181	    0.306918	  0.00967003
         0.4	   0.0965484	  0.00310112	    0.309958	  0.00791205
        0.41	   0.0954205	  0.00442914	    0.307751	  0.00640069
        0.42	   0.0942791	  0.00623545	    0.300598	  0.00511868
        0.43	   0.0931243	  0.00864955	    0.288926	  0.00404559
        0.44	   0.0919564	    0.011812	    0.273229	  0.00316054
        0.45	   0.0907755	   0.0159077	    0.254287	   0.0024407
        0.46	    0.089582	   0.0211322	     0.23295	  0.00186276
        0.47	   0.0883759	   0.0276867	     0.21006	  0.00140424
        0.48	   0.0871575	   0.0357929	    0.186421	   0.0010461
        0.49	   0.0859267	   0.0456776	    0.162827	 0.000770165
         0.5	   0.0846837	   0.0575565	    0.140011	 0.000559378
        0.51	   0.0834287	   0.0716001	    0.118456	 0.000401264
        0.52	   0.0821616	   0.0879675	   0.0985832	 0.000284486
        0.53	   0.0808826	    0.106781	   0.0807485	 0.000198613
        0.54	   0.0795917	    0.128017	   0.0650436	 0.000136819
        0.55	   0.0782888	    0.151615	   0.0514946	 9.31829e-05
        0.56	   0.0769741	    0.177454	   0.0400902	 6.23312e-05
        0.57	   0.0756474	    0.205174	   0.0306703	 4.10791e-05
        0.58	   0.0743088	    0.234355	   0.0230375	 2.67891e-05
        0.59	   0.0729582	    0.264515	   0.0169885	 1.70964e-05
         0.6	   0.0715956	    0.294923	   0.0122968	 1.07244e-05
        0.61	   0.0702209	    0.324785	  0.00873025	 6.66867e-06
        0.62	   0.0688339	    0.353282	  0.00606776	 4.03814e-06
        0.63	   0.0674347	    0.379482	   0.0041326	 2.39437e-06
        0.64	    0.066023	    0.402427	  0.00275917	 1.41215e-06
        0.65	   0.0645987	      0.4212	  0.00179516	 8.05755e-07
