         0.2	    0.583859	   0.0573382	    0.299917
        0.21	    0.556808	   0.0698326	    0.285387
        0.22	    0.532099	   0.0840148	    0.271922
        0.23	    0.509388	   0.0999574	    0.259385
        0.24	    0.488448	    0.117698	    0.247679
        0.25	    0.469084	    0.137266	    0.236723
        0.26	    0.451112	    0.158679	    0.226437
        0.27	    0.434391	    0.181914	    0.216761
        0.28	     0.41879	    0.206934	    0.207637
        0.29	    0.404188	    0.233695	    0.199013
         0.3	    0.390493	    0.262104	    0.190848
        0.31	    0.377621	    0.292058	    0.183105
        0.32	    0.365493	    0.323444	    0.175746
        0.33	    0.354046	    0.356106	    0.168745
        0.34	    0.343222	    0.389876	    0.162073
        0.35	    0.332966	    0.424578	    0.155706
        0.36	    0.323233	    0.460002	    0.149624
        0.37	    0.313984	    0.495926	    0.143806
        0.38	    0.305177	    0.532125	    0.138233
        0.39	    0.296783	    0.568349	    0.132892
         0.4	    0.288769	    0.604342	    0.127767
        0.41	    0.281108	    0.639844	    0.122844
        0.42	    0.273776	     0.67459	    0.118112
        0.43	     0.26675	    0.708308	     0.11356
        0.44	    0.260009	     0.74073	    0.109177
        0.45	    0.253534	    0.771595	    0.104954
        0.46	    0.247308	    0.800644	    0.100883
        0.47	    0.241314	    0.827622	   0.0969547
        0.48	     0.23554	      0.8523	   0.0931629
        0.49	     0.22997	    0.874453	   0.0895006
         0.5	    0.224592	    0.893867	   0.0859613
        0.51	    0.219395	    0.910365	   0.0825393
        0.52	    0.214368	    0.923782	   0.0792292
        0.53	    0.209501	    0.933963	   0.0760258
        0.54	    0.204785	    0.940808	   0.0729246
        0.55	    0.200211	    0.944225	   0.0699211
        0.56	    0.195771	    0.944141	   0.0670113
        0.57	    0.191457	    0.940541	   0.0641912
        0.58	    0.187262	    0.933425	   0.0614575
        0.59	     0.18318	    0.922807	   0.0588066
         0.6	    0.179204	    0.908768	   0.0562355
        0.61	    0.175328	      0.8914	   0.0537413
        0.62	    0.171546	    0.870812	   0.0513211
        0.63	    0.167853	    0.847175	   0.0489724
        0.64	    0.164244	    0.820671	   0.0466929
        0.65	    0.160714	    0.791498	   0.0444801
        0.66	    0.157258	    0.759903	    0.042332
        0.67	    0.153872	    0.726147	   0.0402467
        0.68	    0.150551	    0.690499	   0.0382221
